nome_organizacao,descricao_organizacao,categoria_organizacao,segmento_atuacao,tecnologias_disruptivas,fase_negocio,papel_no_ecossistema,M1_Agro,M2_Saude,M3_Infra_Mobilidade,M4_Transformacao_Digital,M5_Bioeconomia_Energia,M6_Defesa_Soberania,missoes_previstas
Seediing,"Plataforma de vendas automatizada para produtores
familiares de hortifrutigranjeiro orgânico
e agroecológico comercializarem seus
produtos pelo WhatsApp/ internet,
garantindo sua demanda. Além disso, o
serviço integra Marketing e Pós-Venda
para reter e conseguir novos clientes para
o produtor.",Startup,"Agronegócio, Negócios sociais",Nenhuma,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,1,0,0,0,0,0,M1 Agro
Aurem,"Aurem é uma Startup que através da tecnologia assistiva utiliza o reconhecimento de voz alocado em web para captar a fala do professor transcrevendo-a em tempo real, tanto em aulas físicas quanto online. O aluno pode acompanhar por meio do Datashow, notebook ou celular. Após a aula, o conteúdo transcrito pode ser salvo no formato txt, editado e enviado ao aluno.",Startup,Educação,"Deep Learning, Machine Learning","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,1,0,1,0,0,"M2 Saude, M4 Transformacao Digital"
Arkmeds Soluções Tecnologicas Ltda.,"A Arkmeds tem como objetivo, desenvolver tecnologias que trazem mais economia, segurança e qualidade para área de Engenharia Clínica ou assistência técnica. Desde sua fundação até os dias atuais, implementamos varias melhorias e tecnologias. A empresa começou com um software para a área de engenharia clínica e hoje, já temos uma linha de analisadores com cinco equipamentos. Além disso, o software que até então seria mais focado para área de engenharia clinica, hoje é usado por diversos seguimentos, devidos a todas as melhorias já implementadas.",Startup,"Saúde, Indústria 4.0","Impressão 3D, IOT (Internet das Coisas), Realidade aumentada",Consolidado no mercado (Startup é um dos principais líderes no mercado em que atua e já construiu barreiras à entrada relevantes),Executores Diretos das Missões,0,1,0,0,0,0,M2 Saude
BEHIVE TECNOLOGIA LTDA,"Desenvolver soluções, softwares e bases digitais de terreno com alta resolução ao custo acessivel. Atendimento as principais operadoras móveis para serviços de planejamento de redes de transporte.",Empresa de Base Tecnológica (EBT),"Rede social, Tecnologia da informação","Big Data, IOT (Internet das Coisas)","Escala (Nesta fase a EBT possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,0,0,1,1,0,0,"M3 Infra Mobilidade, M4 Transformacao Digital"
KilomboTech,"Kiolombo Tech
A “Kilombo Tech” é um Hub de inovação e impacto criado a partir de uma análise sociológica sobre a ausência de mulheres negras nas profissões do setor de tecnologia e de cargos de tomada de decisão. A Kilombo é formada pela CEO Bárbara Aguilar (@bahlutz) desenvolvedora Front-End e a co-fundadora Allana Cardoso (aallanacardoso) estudante de Ciência de Dados.
O Hub tem como objetivo a transformação social através da formação e inserção destas mulheres no mercado tecnológico e tem o foco em dois seguimentos: mulheres que estejam finalizando o ensino médio e estejam entrando na universidade e aquelas que já atuam no mercado de trabalho mas tem interesse em realizar a transição de carreira. 
O propósito da Kilombo é ser ponte entre mulheres profissionais e aquelas que querem se formar, a criação de novas narrativas sobre a vida das mulheres negras e viabilizar uma nova perspectiva profissional e pessoal, uma vez que o trabalho com a T.I. possibilita a emancipação financeira e por conseguinte a ascensão social.",Empresa de Base Tecnológica (EBT),Educação,Nenhuma,Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,1,0,1,1,0,0,"M1 Agro, M3 Infra Mobilidade, M4 Transformacao Digital"
Campotech,"A organização tem por objetivo a fabricação de soluções em automação para o agronegócio, especificamente no pós colheita. Os resultados são, redução de gases nocivos ao meio ambiente, otimização no tempo de trabalho, preservação e valorização da qualidade do produto que está sendo processado e elevação no padrão de secagem. As ferramentas digitais também possibilitam uma gestão com eficiência e acompanhamento e análise de resultados.",Empresa de Base Tecnológica (EBT),"Agronegócio, Indústria 4.0","IOT (Internet das Coisas), Machine Learning","Tração (Início da consolidação e repetição de processos para áreas da EBT, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,1,0,0,0,1,0,"M1 Agro, M5 Bioeconomia Energia"
TecStar,"A TecStar é uma startup que tem como objetivo trabalhar com a eficiência no beneficio da seca de café. Desde os primórdios da cafeicultura todo café que chegava da lavoura era seco nos ""terreirões"" de café até atingir a umidade necessária para o comercio. Porém esse método de secagem demandava ao produtor vários fatores favoráveis além do grande tempo que era preciso, como por exemplo o clima e mão de obra qualificada. Com a necessidade de não depender tanto destes fatores, desenvolveu-se então o secador de café, que é uma maquina desenvolvida à quarenta anos e é utilizada até nos dias de hoje, que pode secar o café mesmo com o tempo chuvoso e com um maior rendimento no tempo de secagem. Entretanto, como neste equipamento até hoje não houve nenhuma evolução para aprimorar o seu processo de secagem o tempo que é gasto é muito grande, chegando a atrasar e congestionar a colheita do produtor. Pensando neste problema nós da TecStar desenvolvemos uma técnica de secagem no secador de café e a unimos com uma automação podendo gerar ao produtor uma economia de 20% no tempo de secagem por cada lote e reduzindo em até 87% o consumo de energia eletrica do secador de café. Hoje em dia temos uma parceria com a Palini & Alvez que é uma grande fabricante de secadores de café, que por sua vez nós fornecemos o equipamento à fabricante e revende o nosso produto. Além de outros projetos que estamos trabalhando para conseguir obter uma demanda constante de desenvolvimento de equipamentos para ajudar o produtor de café.",Startup,"Agronegócio, Indústria 4.0, Tecnologia da informação","IOT (Internet das Coisas), Machine Learning","Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,1,0,0,0,1,0,"M1 Agro, M5 Bioeconomia Energia"
Sempher,"A Sempher Solutions traz para o mercado soluções que maximizam os resultados operacionais e caixa com automação e racionalização dos inventários de EPI. Através de nosso sistema de gestão, máquinas e quiosques de entrega de EPI “Vending Machines”, que permitem a interface com sistemas de ERP, asseguramos relatórios gerenciais e eliminamos controles manuais, papéis, burocracias e tarefas operacionais de compradores, líderes, técnicos e engenheiros de segurança.
Reduzimos ainda o tempo de entrega de um EPI em cerca de 80% o que garante mais tempo do funcionário no posto de trabalho.
Inovação
Nossa solução tem como inovação um sistema automatizado de controle e entrega de EPI, garantindo a proteção dos dados através de tecnologias como blockchain, que possibilita total segurança dos dados. Também otimizamos o processo de gerenciamento e controle dos EPI através de técnicas de ciência de dados. Isto possibilita informações precisas e com alto poder para tomada de decisão.
Expertise Tecnológica
Desenvolvimento de sistemas web responsivos para automação e controle, criação de aplicativo mobile multiprataforma, modelamento parametrização de banco de dados, otimização de processo, desenvolvimento de hardware analógico e digital. Soluções embarcadas para microcontroladores, Integração de sistemas.",Startup,Indústria 4.0,"Blockchain, IOT (Internet das Coisas)","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Magistech Sistemas Ltda,"O objetivo da Magistech é oferecer às indústrias do segmento lácteo e outras indústrias similares um ERP espécifico para o segmento, agilizando o acesso à informação para a tomada de decisões, primando pela excelência no atendimento.

Estamos em crescimento constante, sempre aumentando a nossa equipe interna, tendo já em nossa carteira, mais de 300 indústrias em todo o brasil, sendo a Magistech considerada referencia no setor lácteo.",Empresa de Base Tecnológica (EBT),"Gestão de negócios, Tecnologia da informação",Nenhuma,Consolidado no mercado (EBT é um dos principais líderes no mercado em que atua e já construiu barreiras à entrada relevantes),Executores Diretos das Missões,1,0,0,1,1,0,"M1 Agro, M4 Transformacao Digital, M5 Bioeconomia Energia"
Neurobrinq,"Desenvolvemos, fabricamos e prestamos serviços para Clinias, instituições de ensino e afins que trabalham na estimulação de crianças com transtornos do neurodesenvolvimento. Aplicamos tecnologia iOT em nossos produtos e desenvolvemos softwares para profissionais atuarem de froma multidisciplinar.",Startup,"Educação, Jogos","Impressão 3D, IOT (Internet das Coisas), Machine Learning","Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,0,1,0,0,0,0,M2 Saude
NanoPack - Tecnologia em Embalagens,"O produto consiste em nanoestruturas incorporadas à um biopolímero
com atividade antimicrobiana, resistência a impacto mecânico e
propriedade de barreira a gases e umidade. Pode ser apresentado em
forma de revestimento, bem como, em forma de filme plástico, ou seja,
embalagem plástica pré-fabricada. Na forma de revestimento, foco
principal da NanoPack, é aplicado no pós colheita formando uma fina
película protetora sobre a fruta, e na forma de filme, pode ser
empregado no período pré ou pós-colheita.
A tecnologia é capaz de aumentar em até 200% a vida útil da
fruta,mantendo as características do alimento in natura estáveis por
mais tempo, com maior qualidade seja para venda ou armazenamento,
possibilitando uma melhor distribuição desses alimentos e reduzindo as
taxas de perdas e desperdício, além de alavancar a exportação, pois
será permitido o uso de transportes terrestres ou marítimos ao invés de
transportes aéreos, refletindo, portanto, em fidelização de clientes e
aumento de faturamento pelo nosso cliente. Ademais contribuímos para
a redução do impacto ambiental causado pelas outras embalagens não
biodegradáveis, agregando valor ao produto e unimos em um único
produto diversas funcionalidades não ofertadas por qualquer outra
embalagem atualmente disponível no mercado, com custo aproximado
ao das embalagens já utilizadas. Trata-se de uma tecnologia
sustentável, com baixo custo de produção, menor impacto ambiental e
alta disponibilidade de matéria prima.",Startup,Alimentos,Nanotecnologia,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,1,0,0,0,1,0,"M1 Agro, M5 Bioeconomia Energia"
Recombine Biotech,"A Recombine Biotech é uma empresa de biotecnologia que atua na área de produção de proteínas recombinantes. Nosso foco é na produção de antígenos para diagnósticos e vacinas. Nosso primeiro produto desenvolvido é o Antígeno para Leishmaniose Visceral Canina.. Somos um negócio de impacto que auxilia no controle de uma doença negligenciada como a leishmaniose visceral, que atinge inclusive humanos. Calcula-se que para cada pessoa infectada haja em torno de 200 cães infectados, o que ocasiona em mais de 800.000 cães anualmente disseminado a doença. A recomendação do Ministério da Saúde é pela eutanásia do cães infectados. Há uma carência de diagnósticos de leishmaniose canina confiáveis no mercado. Tal situação reforça a importância de um diagnóstico eficiente, pois eventuais erros podem ocasionar a eutanásia de cães saudáveis ou a manutenção de cães doentes disseminando a doença na sociedade. A empresa nasceu do desenvolvimento de projetos de pesquisa na Universidade Federal de Viçosa pela doutoranda Anna Cláudia Alves de Souza, sob a coordenação da Prof Juliana Lopes Rangel Fietto. A empresa ainda não está em operação, pois depende da aprovação de registro de diversos órgãos regulatórios para a produção e comercialização do produto. Em janeiro de 2020, a empresa recebeu o seu primeiro registro: um ofício do Ministério da Agricultura (MAPA) que permite a produção do diagnóstico, desde que o mesmo seja produzido no mesmo laboratório onde é prestado o serviço do teste de diagnóstico. Assim, a empresa tem moldado seu modelo de negócios a partir de uma adaptação da conexão startup - indústria para laboratórios de prestação de serviços de diagnóstico. Nosso produto tem patente depositada no Brasil e processo de depósito da patente também na Índia.",Startup,Ciências biológicas,Biotecnologia,Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,0,1,0,0,0,0,M2 Saude
Seduca,"Somos uma EdTech que tem como principal produto um sistema de gestão escolar simples e completo, que visa ajudar na gestão acadêmica e financeira. Atualmente estamos em cinco estados, com cerca de 9 mil alunos cadastrados e mais de 35 mil usuários, entre administradores, professores, pais e responsáveis.",Startup,Educação,Nenhuma,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Aleph Engineering Solutions,"PRESTAÇÃO DE SERVIÇOS DE ENGENHARIA, CONSULTORIA, SUPERVISÃO E GERENCIAMENTO DE PROJETOS, VISTORIA, PERÍCIA TÉCNICA, DESENHO, AVALIAÇÃO E PARECER TÉCNICO EM TURBOMÁQUINAS E MINI TURBINAS, FOCADAS NO PROJETO DE COMPONENTES HIDROMECÂNICOS E EÓLICOS, DE MICRO E NANO GERAÇÃO. ANÁLISE DE COMPORTAMENTO AERODINÂMICO DE VENTILADORES E SISTEMAS DE AVAC. SERVIÇOS DE CONSULTORIA NAS ANÁLISES DE FALHA ESTRUTURAL EM ELEMENTOS DE MÁQUINAS E COMPONENTES MECÂNICOS, DE ENGENHARIA INVERSA, ANÁLISE DE TESTES E ENSAIOS MECÂNICOS, ANÁLISE ESTRUTURAL, QUE PERMITAM O ESTABELECIMENTO DAS POSSÍVEIS CAUSAS DE FALHAS DURANTE O SERVIÇO. REPRESENTAÇÃO COMERCIAL E SERVIÇOS DE CONSULTORIA AERONÁUTICA, AVALIAÇÃO DE PRÉ-COMPRA, LOCAÇÃO INTERMEDIÁRIA, ANÁLISE TÉCNICA DOCUMENTAL, E ANÁLISE FÍSICA EM AERONAVES, SUAS PARTES E PEÇAS",Empresa de Base Tecnológica (EBT),Indústria 4.0,simulação Numérica,Consultoria,Executores Diretos das Missões,1,0,0,0,1,0,"M1 Agro, M5 Bioeconomia Energia"
SAGA,"O gado tornou-se um produto caro e requisitado no mercado, e,
pela fácil negociação da mercadoria, fornece um lucro certo e
elevado, visto que qualquer animal subtraído tem um alto custo.
Com base nisso, ações criminosas nesse setor aumentaram e há
carência de medidas que atendam à necessidade de segurança
do produtor e de sua criação. Sendo assim, o intuito da ideia é
evitar e alertar a ocorrência de furtos de gado em função do
prejuízo decorrente dessa ação e da crescente onda de casos,
especialmente nas regiões sul e sudeste do Brasil, principais
criadoras.
A inovação do projeto baseia-se em fornecer ao criador de gado a possibilidade de monitorar e
supervisionar seu rebanho e propriedade com autonomia,
mesmo distante, através de uma ferramenta de segurança
evitando uma série de prejuízos e complicações ao produtor e ao
setor pecuário.",Startup,Agronegócio,IOT (Internet das Coisas),Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,1,0,0,0,1,0,"M1 Agro, M5 Bioeconomia Energia"
MiningMath Software Ltda.,"A Startup MiningMath Software atua no ramo da mineração com um produto já desenvolvido que ajuda as mineradores a aumentarem suas receitas e a mitigar riscos nos projetos de mineração através de uma otimização matemática global que considera diversas variáveis, sendo uma delas a variável ambiental. Vendas em diversos continentes, mas sem nenhuma receita proveniente do mercado nacional.",Startup,Gestão de negócios,"Big Data, Otimização matemática e Ciência de Dados","Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,0,0,0,1,1,0,"M4 Transformacao Digital, M5 Bioeconomia Energia"
Amicus Inovações Ind. e Com. de Produtos Eletrônicos Ltda.,"A Amicus desenvolve e fabrica produtos inovadores para o mercado pet através da marca Amicus e produtos eletrônicos inovadores para bem estar, economia e segurança através da marca ON Eletrônicos",Empresa de Base Tecnológica (EBT),"Energia, Pets",Nenhuma,"Escala (Nesta fase a EBT possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,0,0,0,0,1,0,M5 Bioeconomia Energia
HVEX,Empresa voltada para o desenvolvimento de tecnologia e inovação para o setor elétrico na alta tensão.,Startup,Energia,IOT (Internet das Coisas),"Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,0,0,1,1,1,0,"M3 Infra Mobilidade, M4 Transformacao Digital, M5 Bioeconomia Energia"
INNOMA - Innovative Materials,"No mercado desde 2016, a Innoma Innovative Materials, como o próprio nome sugere, tem o objetivo de promover a inovação na indústria de transformação por meio do desenvolvimento de produtos baseados em nanotecnologia.

Focada nas áreas de química fina e engenharia de materiais, o principal objetivo da empresa é fornecer insumos de alto valor agregado visando aprimorar tecnologias já existentes, com ganhos em eficiência e custo-benefício.",Empresa de Base Tecnológica (EBT),Saúde,Nanotecnologia,"Tração (Início da consolidação e repetição de processos para áreas da EBT, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,1,0,1,1,1,0,"M1 Agro, M3 Infra Mobilidade, M4 Transformacao Digital, M5 Bioeconomia Energia"
Intergado,"A INTERGADO foi idealizada para fazer parte da transformação do agronegócio brasileiro. Acreditamos no potencial das tecnologias de precisão para auxiliar a rápida tomada de decisão, visando à eficiência dos sistemas produtivos.

Estamos alinhados com as atuais tendências de utilização da seleção genética para eficiência alimentar e desenvolvimento de pesquisas para monitoramento da saúde animal e diagnóstico precoce de doenças, através de avaliação de mudanças de comportamento e de consumo. Isso significa otimizar o uso dos recursos naturais, humanos e financeiros.

Nossa meta é desenvolver e disponibilizar, a um custo acessível, ferramentas de automação para os produtores e instituições de pesquisa.",Startup,Agronegócio,"IOT (Internet das Coisas), Machine Learning","Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,1,0,0,0,1,0,"M1 Agro, M5 Bioeconomia Energia"
For People Softwares,"Somos uma startup cujo propósito é tornar a experiência de trabalho das pessoas mais simples, orgânica e agradável possível para que elas possam ser o melhor que puderem quando estiverem trabalhando.

E para atingir isso, criamos softwares incríveis para a o segmento de gestão de pessoas.",Startup,Recursos Humanos,"Deep Learning, IOT (Internet das Coisas), Machine Learning","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Inova GS,"Revolucionar a conexão entre Jovens e Empresas! Fazemos Atração de Talentos, Gestão de Contratos de Estágio (Agente de Integração) e Desenvolvimento de Líderes e Gestores com o uso de Business Game, tudo 100% digital.

Principais resultados:

Já ultrapassamos a barreira do primeiro milhão de faturamento; Geração de emprego e renda (hoje temos 15 pessoas no time); Atendemos pequenas, médias e grandes empresas; Atuação no mercado privado e público; Abrangência a nível nacional; Mais de 15 Milhões de visualizações mensais nas redes Sociais; Mais de 1,6 Milhão de acessos mensais nos sites de nossas marcas; Mais de 1,3 Milhão de Usuários e seguidores; Duas marcas consolidadas com registro (EstagioOnline.com e EmpresariUs Lab); Passamos por dois programas de incubação (com destaque); Um programa de Aceleração (InovAtiva Brasil, com destaque); recebemos uma rodada de Investimento Anjo; Premiação a nível municipal com um dos serviços; Premiação a nível nacional no Programa Conexão Startup Indústria; Grandes parcerias a nível nacional e internacional;",Startup,Recursos Humanos,Inteligência artificial,"Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
LITELEDS TECNOLOGIA LTDA,"Com sede em Itajubá – MG, Brasil, a Liteleds desenvolve e fabrica luminárias LED de alta eficiência e dispositivos para Smart Lightning voltados a soluções em iluminação pública, industrial, comercial e para usos gerais. As luminárias fabricadas pela Liteleds contam com as mais novas tecnologias em LEDs e Drivers. Além disso, a maioria das luminárias possuem proteção contra surtos elétricos e são construídas utilizando componentes de alta durabilidade. 
No mês de novembro de 2019 uma parceria entre a startup incubada Liteleds, a empresa Remo Engenharia e a Prefeitura Municipal de Itajubá realizou um piloto de iluminação pública na subida da igreja matriz. O projeto luminotécnico reduziu consideravelmente o consumo de energia gasto na rua, a substituição de luminárias de vapor de sódio de 450W por luminárias LED 120W reduziu em 74% o consumo.",Startup,Cidades inteligentes,IOT (Internet das Coisas),"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,0,0,1,0,1,0,"M3 Infra Mobilidade, M5 Bioeconomia Energia"
Revissoft,Tecnologia voltada a educação,Startup,Educação,Realidade aumentada,"Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Voilá Mobility,"Mobilidade , transporte e turismo em plataformas próprias compartilhas.",Startup,"Entretenimento, Mobilidade, Logística, Turismo",Nenhuma,Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,0,0,1,1,0,0,"M3 Infra Mobilidade, M4 Transformacao Digital"
Logpyx,"Oferecemos o Revolog, uma solução de localização/tracking com IOT com particular aplicação para gestão de pátios logísticos.",Startup,"Indústria 4.0, Logística",IOT (Internet das Coisas),"Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,0,1,0,1,0,0,"M2 Saude, M4 Transformacao Digital"
Salude Tecnologias,"Salude Tecnologias é uma industria de dispositivos eletrônicos para área da saúde e bem estar focada principalmente em desenvolver inovação por meio de tecnologias e utilizando de conceitos inteligentes para propor um preço acessível com qualidade.
Nosso primeiro produto lançado foi o uaiKeto um dispositivo capaz de auxiliar pessoas a descobrirem como seu metabolismo se comporta em uma dieta baixa em carboidratos. Obtivemos um ótimo resultado de vendas nos primeiros 6 meses, 185 peças vendidas.
Estamos lançando um segundo dispositivo que será aplicado em academias, uma forma de trazer tecnologia as academias hoje com aparelhagem pouco tecnológica.
Temos também mais 2 projetos abertos para se tornarem produtos ainda em 2020.",Empresa de Base Tecnológica (EBT),"Saúde, Esporte",Nenhuma,"Tração (Início da consolidação e repetição de processos para áreas da EBT, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,0,1,0,0,0,0,M2 Saude
IAS Soluções Tecnológicas,Soluções em Automação Industrial / Montagem de Painéis Elétricos,Startup,"Agronegócio, Construção, Energia, Entretenimento, Finanças, Alimentos, Gestão de negócios, Indústria 4.0, Cidades inteligentes",Automação Industrial,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,1,0,1,1,1,0,"M1 Agro, M3 Infra Mobilidade, M4 Transformacao Digital, M5 Bioeconomia Energia"
Verde Drone,"A Verde Drone é uma plataforma digital que coneta pilotos de drones, agrônomos e empresas do agronegócio.",Startup,"Agronegócio, Indústria 4.0, Cidades inteligentes","Big Data, Blockchain, Impressão 3D, IOT (Internet das Coisas), Realidade aumentada, Drones e Robótica/Aplicação Mobile","Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,1,0,0,0,0,0,M1 Agro
Cargo Sapiens,"Solução (SaaS) voltada para otimização do processo de compra do frete internacional, aéreo, marítimo, e multimodal.

Geramos valor para empresas que possuem uma cadeia de Supply Chain Global, proporcionando economia de tempo e dinheiro, bem como elevando o nível de Governança e Compliance.",Startup,Logística,Nenhuma,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,0,0,0,1,1,0,"M4 Transformacao Digital, M5 Bioeconomia Energia"
"BEE Bio Ecommitted Evolution Serviços, Industria e Comercio Ltda","A empresa tem por objetivo: Desenvolver tecnologias sustentáveis para aplicações na Industria, Agricultura, Pecuária, Medicina e para as mais diversas aplicações em parceria com o mercado. O BEEocida (detergente desincrustante saneante biodegradável e atóxico) já está em fase de testes para emissão de laudos para a Anvisa. O reator e processos de produção de etanol com resíduos da agro-indústria (palha de café, palha de arroz, etc.) já está construído e será testado. Um enxaguante bucal a base de própolis já está sendo negociado com potencial investidor.",Startup,"Ciências biológicas, Energia, Saúde, Pets","Nanotecnologia, Biotecnologia, biomoléculas, bioprocessos","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,1,0,0,0,1,0,"M1 Agro, M5 Bioeconomia Energia"
Martinson Machine,"Nossa Startup oferece controle e eficiência através de nossos medidores inteligentes que podem monitorar o consumo de energia em tempo real e traduzir informações técnicas em dados que podem ser facilmente entendidos pelo consumidor em representação monetária. Nosso Smart Meter fornece às empresas de serviços públicos e aos usuários a possibilidade de aplicar taxas diferentes durante o dia, de modo a oferecer tarifas melhores e, ao mesmo tempo, reduzir o uso do horário de pico. O corte e reconexão também podem ser feitos remotamente. Nosso equipamento permite equacionar tanto o uso inadequado como também o consumo irregular de energia, permitindo assim o estabelecimento de opções de racionamento e equilíbrio do uso, o que garante inúmeras vantagens.",Startup,Cidades inteligentes,IOT (Internet das Coisas),Teste para Implementação em escala,Executores Diretos das Missões,0,0,1,0,1,0,"M3 Infra Mobilidade, M5 Bioeconomia Energia"
Biorenova Energias Renováveis Ltda.,"Somos uma startup voltada ao desenvolvimento de soluções em energia renovável e geração distribuída, dentro do verdadeiro espírito de sustentabilidade. Trabalhamos com sistemas fotovoltaicos, eólicos, hidráulicos e biogás. Nossa proposta envolve sistemas compartilhados e economia cooperativa e colaborativa. Desenvolvemos projetos de pesquisa, desenvolvimento e inovação nestas tecnologias, de modo a integrá-las num arranjo híbrido. Valorizamos a construção de parcerias sólidas e fomentamos o desenvolvimento de ecossistemas locais. Ainda, promovemos a qualificação local e fomentamos projetos de educação.",Startup,"Ciências biológicas, Construção, Energia",Economia compartilhada,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,1,0,1,0,"M3 Infra Mobilidade, M5 Bioeconomia Energia"
Soil - Tecnologia para Agricultura,"Apresentação
Soil é uma empresa focada em soluções para a irrigação de grandes lavouras, levando para a mão do agricultor todo o controle do sistema de irrigação da fazenda
Inovação
O grande diferencial da Soil é a independência de infraestrutura de telecomunicações, mesmo sem internet ou cobertura celular na fazenda automatizamos todo o sistema de irrigação através de um software próprio.
Expertise Tecnológica
Desenvolvimento de hardware, firmware e software. Utilizando tecnologias como ReactJS, NodeJS, MySQL, componentes STM e placa em SMD.",Empresa de Base Tecnológica (EBT),Agronegócio,"Big Data, Deep Learning, IOT (Internet das Coisas)","Operação (Fase em que a EBT atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,1,0,1,0,1,1,"M1 Agro, M3 Infra Mobilidade, M5 Bioeconomia Energia, M6 Defesa Soberania"
